"Date","CLS.TO","SOXL","NVDA","XOM"
2010-01-04,NA,NA,NA,NA
2010-01-05,NA,NA,NA,NA
2010-01-06,NA,NA,NA,NA
2010-01-07,NA,NA,NA,NA
2010-01-08,NA,NA,NA,NA
2010-01-11,NA,NA,NA,NA
2010-01-12,NA,NA,NA,NA
2010-01-13,NA,NA,NA,NA
2010-01-14,NA,NA,NA,NA
2010-01-15,NA,NA,NA,0.973418182694043
2010-01-18,NA,NA,NA,NA
2010-01-19,NA,NA,NA,0.867393823490872
2010-01-20,NA,NA,NA,0.986366624448623
2010-01-21,NA,NA,NA,0.963054159692195
2010-01-22,NA,NA,NA,0.694831240259188
2010-01-25,NA,NA,NA,0.586422515701851
2010-01-26,NA,NA,NA,0.872991321045155
2010-01-27,NA,NA,NA,0.579786961416631
2010-01-28,NA,NA,NA,0.593148423233422
2010-01-29,0.658167497726168,NA,NA,0.493853612524594
2010-02-01,0.897150740945279,NA,0.991199516087504,0.98414146230533
2010-02-02,0.94864381450074,NA,0.747666213227616,0.907818513037127
2010-02-03,0.80923568924079,NA,0.731655534155212,0.77008950737706
2010-02-04,0.949019790959851,NA,0.948395935071493,0.980100605538829
2010-02-05,0.559226321792187,NA,0.831607028115552,0.760412358121908
2010-02-08,0.563821357313825,NA,0.619819237601301,0.711729059754114
2010-02-09,0.788358121453705,NA,0.578258579044347,0.913075737903773
2010-02-10,0.872942935774264,NA,0.806444770840884,0.792849424098904
2010-02-11,0.637035776822,NA,0.927965880797944,0.792996553463236
2010-02-12,0.65952706587254,NA,0.717879171340443,0.861213175968906
2010-02-16,0.501617598311072,NA,0.74454773426397,0.973976655464886
2010-02-17,0.63376771964867,NA,0.658962420910995,0.86183008107202
2010-02-18,0.677858790553595,NA,0.961364827015047,0.801468097493864
2010-02-19,0.709956214058397,NA,0.602492427520276,0.844811963912974
2010-02-22,0.513114822508452,NA,0.573525919853594,0.927191107685139
2010-02-23,0.741280390285484,NA,0.784340058229991,0.926202449733259
2010-02-24,0.577293025621864,NA,0.761565380792869,0.939444522002348
2010-02-25,0.64228922018113,NA,0.65285257473616,0.913562319645873
2010-02-26,0.782823381746596,NA,0.700528429696,0.814868690448373
2010-03-01,0.861508187801026,NA,0.877974779693365,0.897246432983117
2010-03-02,0.857893721728001,NA,0.578360490474097,0.889635163610818
2010-03-03,0.619060503867843,NA,0.719386793423848,0.812220554713072
2010-03-04,0.598060353406679,NA,0.593234002420442,0.816946689265243
2010-03-05,0.624367582515937,NA,0.875276888885774,0.990911637644253
2010-03-08,0.854613995675901,NA,0.790640010136264,0.818476450841656
2010-03-09,0.621508208622407,NA,0.905252030708228,0.819753090788262
2010-03-10,0.696672810783028,NA,0.594634518609677,0.88453418933894
2010-03-11,0.724056125184475,NA,0.858148303733746,0.869225429167254
2010-03-12,0.733860041043462,NA,0.609923461103665,0.974985636659435
2010-03-15,0.757741928718716,NA,0.634909990891133,0.966922160293248
2010-03-16,0.588306277535305,NA,0.919229038149344,0.841003739259549
2010-03-17,0.575286808417154,0.85418357726514,0.802047408242483,0.957201616296815
2010-03-18,0.551425646280876,0.880944420444196,0.957238367446819,0.872350134374264
2010-03-19,0.843314293903156,0.929959817248819,0.78346164623092,0.955703139466344
2010-03-22,0.734144362589845,0.920765351051802,0.773025586982742,0.860857167310441
2010-03-23,0.985065952548078,0.914800176067956,0.803110427986914,0.813177010386165
2010-03-24,0.945059839258317,0.932526285836532,0.943837540980546,0.95307598056935
2010-03-25,0.663451799871397,0.724120695919521,0.56129855128043,0.857760174998359
2010-03-26,0.633072778638509,0.845085990728758,0.619477928955565,0.925847270056003
2010-03-29,0.864978574547366,0.857335043816058,0.743042824264996,0.983417199905367
2010-03-30,0.600666598740543,0.908289474651719,0.591971664471268,0.926385362167275
2010-03-31,0.912089709094878,0.928142581417715,0.808250813302125,0.813523056386264
2010-04-01,0.868600404195847,0.672230243810641,0.763296691974553,0.979938841703089
2010-04-05,0.75647916988932,0.983065058943508,0.797888897232003,0.951104485883097
2010-04-06,0.744431240596344,0.904450455156562,0.901958123469533,0.928462036756956
2010-04-07,0.749675179758857,0.695921976262395,0.708515002760465,0.961387353556174
2010-04-08,0.531781167491284,0.942119828789692,0.810551446218622,0.921050557098867
2010-04-09,0.512446632855784,0.785907182835953,0.701904390486785,0.958481737346586
2010-04-12,0.508477445418013,0.921751201304782,0.853437988566382,0.876887081352142
2010-04-13,0.879149373186708,0.819959967165743,0.861132864708846,0.848847410259757
2010-04-14,0.730534289981965,0.981143614621222,0.788047050690631,0.860916732644372
2010-04-15,0.639218107472031,0.888916154070523,0.716226199377474,0.947842724013529
2010-04-16,0.72730740250796,0.951481637525053,0.989325146428779,0.926226853063229
2010-04-19,0.585894676162346,0.904871846217667,0.63656436035108,0.913280413409343
2010-04-20,0.574755333649679,0.817704141260997,0.657539349281736,0.967179504715897
2010-04-21,0.977317530401503,0.872611705892094,0.890656256037766,0.895460852964005
2010-04-22,0.789256032548802,0.958360500417109,0.685228255366892,0.954493354244194
2010-04-23,0.940174633130908,0.699034443736141,0.773803586785595,0.982219211694228
2010-04-26,0.853348702512799,0.758933541375792,0.78153462197586,0.775807092557524
2010-04-27,0.755967985657189,0.979102359316161,0.909533536735862,0.989089006679741
2010-04-28,0.742941697158948,0.803436241121433,0.682646887579068,0.976386798761244
2010-04-29,0.801796869621356,0.894925265667649,0.941412428701611,0.943835180362283
2010-04-30,0.927534215247968,0.961438578639909,0.979049541608837,0.968544707956279
2010-05-03,0.600950552158859,0.935842275710162,0.640373563143222,0.806712459474795
