"Date","P_MA","P_Risk","f_technical","AdjClose"
2010-04-30,NA,NA,NA,0.684170186519623
2010-05-31,NA,NA,NA,0.552005708217621
2010-06-30,NA,NA,NA,0.431898802518845
2010-07-31,NA,NA,NA,0.490044951438904
2010-08-31,NA,NA,NA,0.329799830913544
2010-09-30,NA,0.746482723626439,NA,0.475698858499527
2010-10-31,NA,0.581915089020996,NA,0.572621405124664
2010-11-30,NA,0.493771733750424,NA,0.654445886611938
2010-12-31,NA,0.48120211609268,NA,0.763138771057129
2011-01-31,NA,0.507396792475481,NA,0.921598196029663
2011-02-28,0.568294745552605,0.717947231401619,0.643120988477112,1.02784860134125
2011-03-31,0.572916433494366,0.861029248044555,0.716972840769461,0.876868665218353
2011-04-30,0.569126205203489,0.487382014595566,0.528254109899527,0.93884813785553
2011-05-31,0.549874454511513,0.666973353125944,0.608423903818728,0.873968780040741
2011-06-30,0.529630016431068,0.736993417279079,0.633311716855074,0.699174523353577
2011-07-31,0.497730854955336,0.634698120875842,0.566214487915589,0.577506244182587
2011-08-31,0.458012795298801,0.717686128302971,0.587849461800886,0.41828390955925
2011-09-30,0.431938810536186,0.4540237143315,0.442981262433843,0.35126668214798
2011-10-31,0.427209934714509,0.828544001475825,0.627876968095167,0.501940429210663
2011-11-30,0.433053474342596,0.442466221312771,0.437759847827683,0.434923082590103
2011-12-31,0.444276810518648,0.419117031604219,0.431696921061433,0.396301090717316
2012-01-31,0.456182059523604,0.708302150958995,0.582242105241299,0.554454326629639
2012-02-29,0.479786995831653,0.493154711076077,0.486470853453865,0.616586983203888
2012-03-31,0.507018637797518,0.484895576985991,0.495957107391755,0.672001898288727
2012-04-30,0.515013289345016,0.699052765753627,0.607033027549322,0.554302334785461
2012-05-31,0.506191893885807,0.734651465297893,0.62042167959185,0.389583557844162
2012-06-30,0.491664981294605,0.501198780487767,0.496431880891186,0.430496335029602
2012-07-31,0.483871494958802,0.447283055010454,0.465577274984628,0.421794712543488
2012-08-31,0.489159762444521,0.60490844690131,0.547034104672915,0.464691430330276
2012-09-30,0.486327728840655,0.471849038508534,0.479088383674594,0.411566317081451
2012-10-31,0.484268609712897,0.50322313971598,0.493745874714439,0.362105011940002
2012-11-30,0.478504279901444,0.599475196916041,0.538989738408743,0.382255911827087
2012-12-31,0.478120230407813,0.658508272860461,0.568314251634137,0.410498350858688
2013-01-31,0.491178564383171,0.771607915109102,0.631393239746137,0.507130980491638
2013-02-28,0.507785013332224,0.614645517612982,0.561215265472603,0.569873452186584
2013-03-31,0.524596330631774,0.519733626279842,0.522164978455808,0.5926194190979
2013-04-30,0.532517976781226,0.670985501435255,0.601751739108241,0.618571043014526
2013-05-31,0.538795653985552,0.69964197543127,0.619218814708411,0.73092770576477
2013-06-30,0.543117189209206,0.777713335019481,0.660415262114343,0.716272532939911
2013-07-31,0.547671810072595,0.529174032264968,0.538422921168782,0.757643282413483
2013-08-31,0.538131761686375,0.810642764996676,0.674387263341526,0.665895402431488
2013-09-30,0.538194986864814,0.752442892022624,0.645318939443719,0.818858802318573
2013-10-31,0.538435218729822,0.518467085117622,0.528451151923722,0.893355786800385
2013-11-30,0.547882872913064,0.499889887011739,0.523886379962402,0.912743806838989
2013-12-31,0.553985555166281,0.637290334374729,0.595637944770505,1.0536470413208
2014-01-31,0.553143025308987,0.646054034808039,0.599598530058513,1.00846040248871
2014-02-28,0.565112134998575,0.699505301638223,0.632308718318399,1.22126567363739
2014-03-31,0.575235053636538,0.571511578205503,0.573373315921021,1.37255024909973
2014-04-30,0.583824653101655,0.749348020732118,0.666586336916887,1.27942836284637
2014-05-31,0.587735633701083,0.575615373466594,0.581675503583839,1.44918537139893
2014-06-30,0.59588543714609,0.670580306953306,0.633232872049698,1.72625982761383
2014-07-31,0.598067766943176,0.791335201195472,0.694701484069324,1.48963892459869
2014-08-31,0.603364801806508,0.664926621080533,0.63414571144352,1.79861986637115
2014-09-30,0.585681203502187,0.584373026129192,0.585027114815689,1.73526632785797
2014-10-31,0.585588615437111,0.585040333828395,0.585314474632753,1.68687379360199
2014-11-30,0.58358356840721,0.673322946198833,0.628453257303021,2.06088590621948
2014-12-31,0.589383713119964,0.50333259752435,0.546358155322157,2.05813837051392
2015-01-31,0.579624906550322,0.752120732353353,0.665872819451838,1.7522736787796
2015-02-28,0.576741345564509,0.760607916424484,0.668674630994497,2.29346585273743
2015-03-31,0.563886961317956,0.626559473630995,0.595223217474475,2.07683539390564
2015-04-30,0.568897493406164,0.533279540708494,0.551088517057329,1.99149692058563
2015-05-31,0.566064340181616,0.70661126514415,0.636337802662883,2.52872109413147
2015-06-30,0.549105508449882,0.699883595456349,0.624494551953116,1.91867697238922
2015-07-31,0.515894524435109,0.584062433037061,0.549978478736085,1.6249520778656
2015-08-31,0.427169262128565,0.549339516468934,0.48825438929875,1.34405028820038
2015-09-30,0.383699170851087,0.428502456885421,0.406100813868254,1.25794816017151
2015-10-31,0.386149784404927,0.718929408288533,0.55253959634673,1.64571452140808
2015-11-30,0.425301672513146,0.56761624641363,0.496458959463388,1.75502145290375
2015-12-31,0.465014671719172,0.4986535889556,0.481834130337386,1.63472270965576
2016-01-31,0.442849355696093,0.698225403274382,0.570537379485238,1.25245225429535
2016-02-29,0.42544633515961,0.472480389345445,0.448963362252527,1.29214525222778
2016-03-31,0.43537648969404,0.664158800314022,0.549767645004031,1.64937853813171
2016-04-30,0.46075730852798,0.597696339326319,0.52922682392715,1.41671895980835
2016-05-31,0.517993854338929,0.68829717285965,0.60314551359929,1.79715645313263
