"Date","P_MA","P_Risk","P_Econ","f_hybrid","AdjClose"
2010-04-30,NA,NA,0.21239177,NA,0.684170186519623
2010-05-31,NA,NA,0.214477231,NA,0.552005708217621
2010-06-30,NA,NA,0.216645733,NA,0.431898802518845
2010-07-31,NA,NA,0.218747497,NA,0.490044951438904
2010-08-31,NA,NA,0.221015131,NA,0.329799830913544
2010-09-30,NA,0.746482723626439,0.223278247,NA,0.475698858499527
2010-10-31,NA,0.581915089020996,0.225482338,NA,0.572621405124664
2010-11-30,NA,0.493771733750424,0.226048076,NA,0.654445886611938
2010-12-31,NA,0.48120211609268,0.226583692,NA,0.763138771057129
2011-01-31,NA,0.507396792475481,0.227153824,NA,0.921598196029663
2011-02-28,0.568294745552605,0.717947231401619,0.230055371,0.560507864981689,1.02784860134125
2011-03-31,0.572916433494366,0.861029248044555,0.232696308,0.620117534215568,0.876868665218353
2011-04-30,0.569126205203489,0.487382014595566,0.235653328,0.469733953519622,0.93884813785553
2011-05-31,0.549874454511513,0.666973353125944,0.236907582,0.534120639454983,0.873968780040741
2011-06-30,0.529630016431068,0.736993417279079,0.238191268,0.554287627084059,0.699174523353577
2011-07-31,0.497730854955336,0.634698120875842,0.239458597,0.500863309732471,0.577506244182587
2011-08-31,0.458012795298801,0.717686128302971,0.242262337,0.518732036840709,0.41828390955925
2011-09-30,0.431938810536186,0.4540237143315,0.245076319,0.403400273747074,0.35126668214798
2011-10-31,0.427209934714509,0.828544001475825,0.247796704,0.551860915276134,0.501940429210663
2011-11-30,0.433053474342596,0.442466221312771,0.251113357,0.400430549662147,0.434923082590103
2011-12-31,0.444276810518648,0.419117031604219,0.254355515,0.396228639849147,0.396301090717316
2012-01-31,0.456182059523604,0.708302150958995,0.257728546,0.51733939339304,0.554454326629639
2012-02-29,0.479786995831653,0.493154711076077,0.259816644,0.441140011563092,0.616586983203888
2012-03-31,0.507018637797518,0.484895576985991,0.261775026,0.449120691113404,0.672001898288727
2012-04-30,0.515013289345016,0.699052765753627,0.263903615,0.538407145039458,0.554302334785461
2012-05-31,0.506191893885807,0.734651465297893,0.265592136,0.54945577087348,0.389583557844162
2012-06-30,0.491664981294605,0.501198780487767,0.267323647,0.450610234112949,0.430496335029602
2012-07-31,0.483871494958802,0.447283055010454,0.269016936,0.426265207187703,0.421794712543488
2012-08-31,0.489159762444521,0.60490844690131,0.270566364,0.491740556538332,0.464691430330276
2012-09-30,0.486327728840655,0.471849038508534,0.272120476,0.437694802139676,0.411566317081451
2012-10-31,0.484268609712897,0.50322313971598,0.273630108,0.449722721371551,0.362105011940002
2012-11-30,0.478504279901444,0.599475196916041,0.277184742,0.486628739126994,0.382255911827087
2012-12-31,0.478120230407813,0.658508272860461,0.280639669,0.51077933510731,0.410498350858688
2013-01-31,0.491178564383171,0.771607915109102,0.284233693,0.561961330396909,0.507130980491638
2013-02-28,0.507785013332224,0.614645517612982,0.285549162,0.506082044778082,0.569873452186584
2013-03-31,0.524596330631774,0.519733626279842,0.286735845,0.475079151764647,0.5926194190979
2013-04-30,0.532517976781226,0.670985501435255,0.288060135,0.539013418286593,0.618571043014526
2013-05-31,0.538795653985552,0.69964197543127,0.291579307,0.553690913166729,0.73092770576477
2013-06-30,0.543117189209206,0.777713335019481,0.295247787,0.587381767091475,0.716272532939911
2013-07-31,0.547671810072595,0.529174032264968,0.298836368,0.490505610535025,0.757643282413483
2013-08-31,0.538131761686375,0.810642764996676,0.302739964,0.600057803473221,0.665895402431488
2013-09-30,0.538194986864814,0.752442892022624,0.306688019,0.577592755354975,0.818858802318573
2013-10-31,0.538435218729822,0.518467085117622,0.310532653,0.484867452138978,0.893355786800385
2013-11-30,0.547882872913064,0.499889887011739,0.31061936,0.481232975969921,0.912743806838989
2013-12-31,0.553985555166281,0.637290334374729,0.310697534,0.538649862616404,1.0536470413208
2014-01-31,0.553143025308987,0.646054034808039,0.310811574,0.54184113884681,1.00846040248871
2014-02-28,0.565112134998575,0.699505301638223,0.316324308,0.569111836254719,1.22126567363739
2014-03-31,0.575235053636538,0.571511578205503,0.321344377,0.522967528136817,1.37255024909973
2014-04-30,0.583824653101655,0.749348020732118,0.326957851,0.598660639733509,1.27942836284637
2014-05-31,0.587735633701083,0.575615373466594,0.331790147,0.531698432267071,1.44918537139893
2014-06-30,0.59588543714609,0.670580306953306,0.336808256,0.573947948839758,1.72625982761383
2014-07-31,0.598067766943176,0.791335201195472,0.341699708,0.62410112885546,1.48963892459869
2014-08-31,0.603364801806508,0.664926621080533,0.34360904,0.576038377154816,1.79861986637115
2014-09-30,0.585681203502187,0.584373026129192,0.345502473,0.537122186452551,1.73526632785797
2014-10-31,0.585588615437111,0.585040333828395,0.347357083,0.537722996306203,1.68687379360199
2014-11-30,0.58358356840721,0.673322946198833,0.350052437,0.572773093242417,2.06088590621948
2014-12-31,0.589383713119964,0.50333259752435,0.352661818,0.507618887857726,2.05813837051392
2015-01-31,0.579624906550322,0.752120732353353,0.355392912,0.60377683796147,1.7522736787796
2015-02-28,0.576741345564509,0.760607916424484,0.359340972,0.606807899195597,2.29346585273743
2015-03-31,0.563886961317956,0.626559473630995,0.36294213,0.54876699997958,2.07683539390564
2015-04-30,0.568897493406164,0.533279540708494,0.366937624,0.514258338445863,1.99149692058563
2015-05-31,0.566064340181616,0.70661126514415,0.369099279,0.582890097930306,2.52872109413147
2015-06-30,0.549105508449882,0.699883595456349,0.37132999,0.573861639562492,1.91867697238922
2015-07-31,0.515894524435109,0.584062433037061,0.373514187,0.514685620388868,1.6249520778656
