"","P_MA","P_Risk","f_technical"
"2010-02-01",NA,NA,NA
"2010-03-01",NA,NA,NA
"2010-04-01",NA,NA,NA
"2010-05-01",NA,NA,NA
"2010-06-01",NA,NA,NA
"2010-07-01",NA,0.379806595683819,NA
"2010-08-01",NA,0.246785389108129,NA
"2010-09-01",NA,0.43344223374561,NA
"2010-10-01",NA,0.521556234180197,NA
"2010-11-01",NA,0.372562773943212,NA
"2010-12-01",0.970756947313234,0.31260377654466,0.641680361928947
"2011-01-01",0.995732697056173,0.641025727237103,0.818379212146638
"2011-02-01",0.999470133539403,0.297269141421408,0.648369637480406
"2011-03-01",0.999854825382014,0.57394835342544,0.786901589403727
"2011-04-01",0.999906019805431,0.212659135567185,0.606282577686308
"2011-05-01",0.999578908157143,0.553305855553178,0.77644238185516
"2011-06-01",0.99771280793978,0.294855040724327,0.646283924332054
"2011-07-01",0.971528560794904,0.248186087697286,0.609857324246095
"2011-08-01",0.728159227359752,0.455139763807415,0.591649495583583
"2011-09-01",0.226442723758158,0.115125484983383,0.170784104370771
"2011-10-01",0.108659677318517,0.384081366959803,0.24637052213916
"2011-11-01",0.20362411057064,0.211313284864464,0.207468697717552
"2011-12-01",0.612160167202817,0.272443429738954,0.442301798470885
"2012-01-01",0.805206131286811,0.248468349764874,0.526837240525842
"2012-02-01",0.928446802207841,0.239107704095643,0.583777253151742
"2012-03-01",0.943691771375768,0.415347971469413,0.679519871422591
"2012-04-01",0.967845113470983,0.44498708966912,0.706416101570052
"2012-05-01",0.888963199352786,0.622040109288932,0.755501654320859
"2012-06-01",0.839983572091343,0.505669756224118,0.67282666415773
"2012-07-01",0.806538337877577,0.171229768894351,0.488884053385964
"2012-08-01",0.92504226281458,0.197606535954058,0.561324399384319
"2012-09-01",0.941087459933805,0.4104329918121,0.675760225872953
"2012-10-01",0.95252277323149,0.300041706825608,0.626282240028549
"2012-11-01",0.942419893148885,0.514191122436152,0.728305507792518
"2012-12-01",0.848475198415352,0.322592701067311,0.585533949741332
"2013-01-01",0.764034968636437,0.420643089117978,0.592339028877208
"2013-02-01",0.78728668803095,0.324100069317585,0.555693378674267
"2013-03-01",0.865308431049242,0.368469679851021,0.616889055450131
"2013-04-01",0.821923981721242,0.348832134803221,0.585378058262231
"2013-05-01",0.755353604557676,0.339563241594553,0.547458423076114
