"","P_MA","P_Risk","f_technical"
"2010-02-01",NA,NA,NA
"2010-03-01",NA,NA,NA
"2010-04-01",NA,NA,NA
"2010-05-01",NA,NA,NA
"2010-06-01",NA,NA,NA
"2010-07-01",NA,0.664018416848038,NA
"2010-08-01",NA,0.644439699841088,NA
"2010-09-01",NA,0.708771652047259,NA
"2010-10-01",NA,0.470941636107147,NA
"2010-11-01",NA,0.594957686424016,NA
"2010-12-01",0.411564861395553,0.533442570382244,0.472503715888898
"2011-01-01",0.52913358155022,0.45215875890107,0.490646170225645
"2011-02-01",0.699517183562205,0.81375444660195,0.756635815082078
"2011-03-01",0.760119210450092,0.764304964139562,0.762212087294827
"2011-04-01",0.788487645954231,0.488119791555351,0.638303718754791
"2011-05-01",0.684421502393837,0.596097642009268,0.640259572201552
"2011-06-01",0.534113573366891,0.715225809752979,0.624669691559935
"2011-07-01",0.378912493873175,0.44365116789485,0.411281830884013
"2011-08-01",0.250521436928287,0.5172131835999,0.383867310264093
"2011-09-01",0.215852850908303,0.464117880234749,0.339985365571526
"2011-10-01",0.213604598849711,0.737262653790032,0.475433626319871
"2011-11-01",0.241098474885379,0.532022511575654,0.386560493230517
"2011-12-01",0.267632689401371,0.736414542093813,0.502023615747592
"2012-01-01",0.308779053346392,0.733253620125136,0.521016336735764
"2012-02-01",0.412372352374415,0.560000905501797,0.486186628938106
"2012-03-01",0.601886870920179,0.429886303117972,0.515886587019075
"2012-04-01",0.657385964975059,0.645130164955568,0.651258064965313
"2012-05-01",0.565045987489193,0.683440697274021,0.624243342381607
"2012-06-01",0.405925948229737,0.428249532925255,0.417087740577496
"2012-07-01",0.327026071258513,0.544673211569194,0.435849641413853
"2012-08-01",0.349591932047114,0.524095107123892,0.436843519585503
"2012-09-01",0.332736670913551,0.546147597527764,0.439442134220658
"2012-10-01",0.322821954709163,0.613932163249846,0.468377058979505
"2012-11-01",0.318827216817277,0.533822038005584,0.42632462741143
"2012-12-01",0.386788110812334,0.753927020400767,0.570357565606551
"2013-01-01",0.445632421050498,0.592790111014866,0.519211266032682
"2013-02-01",0.552513918841133,0.646059968508686,0.59928694367491
"2013-03-01",0.591458960381542,0.679926652720838,0.63569280655119
"2013-04-01",0.665039373579718,0.574443142219296,0.619741257899507
"2013-05-01",0.709920922589639,0.645106113993926,0.677513518291783
"2013-06-01",0.778308014808038,0.444534792563025,0.611421403685531
"2013-07-01",0.847160282118846,0.639620281628546,0.743390281873695
"2013-08-01",0.877252624325474,0.533186916934577,0.705219770630026
"2013-09-01",0.889354716849422,0.721458960692921,0.805406838771172
"2013-10-01",0.872602348108707,0.670916777134807,0.771759562621757
"2013-11-01",0.814698423547399,0.793718042824632,0.804208233186016
"2013-12-01",0.756453520445558,0.490757013933617,0.623605267189587
"2014-01-01",0.674439440815081,0.44545311761234,0.55994627921371
"2014-02-01",0.638763196420861,0.530180838619641,0.584472017520251
"2014-03-01",0.645274948860918,0.806092081595512,0.725683515228215
"2014-04-01",0.663738712303868,0.444261020618269,0.553999866461069
"2014-05-01",0.745704698555083,0.5654422640254,0.655573481290242
"2014-06-01",0.772649626604949,0.501616105800889,0.637132866202919
"2014-07-01",0.731386146461245,0.801174110666192,0.766280128563719
"2014-08-01",0.655130094101922,0.420266755123403,0.537698424612662
"2014-09-01",0.487710805674335,0.560092275130485,0.52390154040241
"2014-10-01",0.524979203333842,0.657827256923562,0.591403230128702
"2014-11-01",0.518949250082109,0.400013572735795,0.459481411408952
"2014-12-01",0.651354810523171,0.682077381136618,0.666716095829894
"2015-01-01",0.726942770401988,0.455266418688832,0.59110459454541
"2015-02-01",0.81178740570507,0.42249246306273,0.6171399343839
"2015-03-01",0.807679169534521,0.748764863635078,0.7782220165848
"2015-04-01",0.799659334261895,0.507056548231786,0.65335794124684
"2015-05-01",0.82285820163147,0.581144193951289,0.702001197791379
"2015-06-01",0.83236748823497,0.782303255673375,0.807335371954172
"2015-07-01",0.885694777307937,0.777132784405278,0.831413780856608
"2015-08-01",0.853314019683574,0.590494403730369,0.721904211706971
"2015-09-01",0.896135111413153,0.447554063424879,0.671844587419016
"2015-10-01",0.733346213024887,0.665311758379496,0.699328985702191
"2015-11-01",0.608259082254587,0.414512004635523,0.511385543445055
"2015-12-01",0.419660667978959,0.389540102273089,0.404600385126024
"2016-01-01",0.299607721437609,0.685871384439409,0.492739552938509
"2016-02-01",0.238213321838051,0.54679723337556,0.392505277606806
"2016-03-01",0.178604143526931,0.470688343368933,0.324646243447932
"2016-04-01",0.237005650243948,0.468037311939556,0.352521481091752
"2016-05-01",0.268613822312208,0.492524403600347,0.380569112956278
"2016-06-01",0.176777666103125,0.622961047991238,0.399869357047181
"2016-07-01",0.27955566582559,0.725140517715316,0.502348091770453
"2016-08-01",0.319008219998191,0.457916479054961,0.388462349526576
"2016-09-01",0.553337884552879,0.440217069659955,0.496777477106417
"2016-10-01",0.641833972010857,0.591732417518794,0.616783194764826
"2016-11-01",0.77787628825971,0.376275378346959,0.577075833303335
"2016-12-01",0.855181578889242,0.611911463087808,0.733546520988525
"2017-01-01",0.88712114718448,0.728671946262506,0.807896546723493
"2017-02-01",0.898134498123904,0.608950896352608,0.753542697238256
"2017-03-01",0.947681409164071,0.542546466324006,0.745113937744038
"2017-04-01",0.945662281052455,0.497932581162102,0.721797431107278
"2017-05-01",0.943258456527237,0.620984391251055,0.782121423889146
"2017-06-01",0.854561342729337,0.631377485136343,0.74296941393284
"2017-07-01",0.549215185767411,0.752816760480253,0.651015973123832
