"","P_MA","P_Risk","f_technical"
"2010-02-01",NA,NA,NA
"2010-03-01",NA,NA,NA
"2010-04-01",NA,NA,NA
"2010-05-01",NA,NA,NA
"2010-06-01",NA,NA,NA
"2010-07-01",NA,0.476164888243524,NA
"2010-08-01",NA,0.656533910549282,NA
"2010-09-01",NA,0.815620876144682,NA
"2010-10-01",NA,0.545728131375486,NA
"2010-11-01",NA,0.617338627280103,NA
"2010-12-01",0.502311587007308,0.597867979267562,0.550089783137435
"2011-01-01",0.520959321180504,0.85760978054389,0.689284550862197
"2011-02-01",0.535117666323932,0.753142171811974,0.644129919067953
"2011-03-01",0.540426763249665,0.749525800905179,0.644976282077422
"2011-04-01",0.530937867696065,0.457698821001057,0.494318344348561
"2011-05-01",0.522661123238445,0.525323302545313,0.523992212891879
"2011-06-01",0.515121117655158,0.672709785544237,0.593915451599697
"2011-07-01",0.501122370960644,0.544142193650711,0.522632282305678
"2011-08-01",0.486367776255503,0.54320983905426,0.514788807654882
"2011-09-01",0.479426866750753,0.450286192396995,0.464856529573874
"2011-10-01",0.479951366915093,0.800790560045104,0.640370963480099
"2011-11-01",0.483414102770887,0.612252825521798,0.547833464146342
"2011-12-01",0.486725707932357,0.663246134670439,0.574985921301398
"2012-01-01",0.491036310135206,0.595336812407958,0.543186561271582
"2012-02-01",0.493705498438358,0.479983415850729,0.486844457144543
"2012-03-01",0.498108693416202,0.524207432871871,0.511158063144036
"2012-04-01",0.498070482429704,0.792105419677006,0.645087951053355
"2012-05-01",0.496508758134252,0.476506889337123,0.486507823735688
"2012-06-01",0.494502988166755,0.721090620371452,0.607796804269104
"2012-07-01",0.495673010736088,0.478769681877171,0.487221346306629
"2012-08-01",0.498385710662808,0.591923080138602,0.545154395400705
"2012-09-01",0.497072323467574,0.534444232672812,0.515758278070193
"2012-10-01",0.495439012699028,0.760178717185138,0.627808864942083
"2012-11-01",0.493251860128191,0.492934449127264,0.493093154627727
"2012-12-01",0.492066358861267,0.692127783112023,0.592097070986645
"2013-01-01",0.49391302985708,0.545670959527403,0.519791994692241
"2013-02-01",0.49653724529327,0.688650069094847,0.592593657194058
"2013-03-01",0.498934567345444,0.590473241997379,0.544703904671412
"2013-04-01",0.501549536368603,0.846989702046995,0.674269619207799
"2013-05-01",0.50413872224202,0.656709275737499,0.58042399898976
"2013-06-01",0.506393009075132,0.804506520813576,0.655449764944354
"2013-07-01",0.507278485752359,0.502381860180823,0.504830172966591
"2013-08-01",0.507495993971389,0.541651112810441,0.524573553390915
"2013-09-01",0.509372956002868,0.667773870893921,0.588573413448395
"2013-10-01",0.509280924938928,0.759079021206315,0.634179973072622
"2013-11-01",0.50918226819118,0.586068062637047,0.547625165414113
"2013-12-01",0.508275379607676,0.571251926930536,0.539763653269106
"2014-01-01",0.507619883092498,0.748613120885536,0.628116501989017
"2014-02-01",0.510303577620443,0.853331330494216,0.68181745405733
"2014-03-01",0.511543390514986,0.653374071740934,0.58245873112796
"2014-04-01",0.514693867706846,0.504848945467542,0.509771406587194
"2014-05-01",0.513704851704131,0.515797509060045,0.514751180382088
"2014-06-01",0.512752283885928,0.653024997351177,0.582888640618552
"2014-07-01",0.509343410524009,0.724552914228125,0.616948162376067
"2014-08-01",0.507937655990087,0.831508164711399,0.669722910350743
"2014-09-01",0.506337335564222,0.696610793895486,0.601474064729854
"2014-10-01",0.508245597213155,0.659226232922135,0.583735915067645
"2014-11-01",0.508624037323389,0.668041001830157,0.588332519576773
"2014-12-01",0.509823270701765,0.669460541376651,0.589641906039208
"2015-01-01",0.507420770404201,0.693940380722908,0.600680575563555
"2015-02-01",0.507775855061507,0.807278761678928,0.657527308370218
"2015-03-01",0.508028948268093,0.701078604886805,0.604553776577449
"2015-04-01",0.512168902198344,0.59935885506581,0.555763878632077
"2015-05-01",0.510747642072247,0.529983028074241,0.520365335073244
"2015-06-01",0.508339043383174,0.73391667504825,0.621127859215712
"2015-07-01",0.50262310122459,0.525061958526721,0.513842529875655
"2015-08-01",0.50184061664385,0.807337760550253,0.654589188597051
"2015-09-01",0.50791014790642,0.684936332807976,0.596423240357198
"2015-10-01",0.520485738371889,0.730530337108209,0.625508037740049
"2015-11-01",0.533730310792185,0.613567121053896,0.57364871592304
"2015-12-01",0.544023781368024,0.674802190067004,0.609412985717514
"2016-01-01",0.54084778681059,0.860564640357358,0.700706213583974
"2016-02-01",0.535481469389291,0.505534764030931,0.520508116710111
"2016-03-01",0.53351231906091,0.647210390645413,0.590361354853162
"2016-04-01",0.539447702664638,0.585986175827482,0.56271693924606
"2016-05-01",0.558114435844684,0.813184935582586,0.685649685713635
"2016-06-01",0.567529836204726,0.56700179925426,0.567265817729493
"2016-07-01",0.592054836976912,0.674192269773421,0.633123553375167
"2016-08-01",0.601794031596259,0.586514867779735,0.594154449687997
"2016-09-01",0.622339221485778,0.498867597447931,0.560603409466854
"2016-10-01",0.628837022499766,0.681136420917777,0.654986721708771
"2016-11-01",0.658457877344518,0.814621627687598,0.736539752516058
"2016-12-01",0.69402172843877,0.52396269141445,0.60899220992661
"2017-01-01",0.724614825961721,0.710265306618425,0.717440066290073
"2017-02-01",0.711001196031354,0.773787346050978,0.742394271041166
"2017-03-01",0.683129077406541,0.473875882083622,0.578502479745082
"2017-04-01",0.642755073228733,0.67446716786228,0.658611120545507
"2017-05-01",0.676882907131362,0.829911891040052,0.753397399085707
"2017-06-01",0.6968626015778,0.539268626365801,0.618065613971801
"2017-07-01",0.74928743642068,0.532478436936262,0.640882936678471
