"","P_MA","P_Risk","f_technical"
"2010-04-01",NA,NA,NA
"2010-05-01",NA,NA,NA
"2010-06-01",NA,NA,NA
"2010-07-01",NA,NA,NA
"2010-08-01",NA,NA,NA
"2010-09-01",NA,0.746482884041132,NA
"2010-10-01",NA,0.581915346098478,NA
"2010-11-01",NA,0.49377147976984,NA
"2010-12-01",NA,0.481202246187231,NA
"2011-01-01",NA,0.50739659752937,NA
"2011-02-01",0.568294729101555,0.717947571685686,0.64312115039362
"2011-03-01",0.572916420733143,0.861029189191329,0.716972804962236
"2011-04-01",0.569126196068274,0.487382466992547,0.52825433153041
"2011-05-01",0.549874474796746,0.666973681569775,0.608424078183261
"2011-06-01",0.529630025711588,0.736993752534258,0.633311889122923
"2011-07-01",0.497730853713598,0.634698746963453,0.566214800338526
"2011-08-01",0.45801278790076,0.717686134823483,0.587849461362122
"2011-09-01",0.431938794692379,0.454023978022141,0.44298138635726
"2011-10-01",0.427209924990941,0.828544044207086,0.627876984599014
"2011-11-01",0.433053462757328,0.442466068090196,0.437759765423762
"2011-12-01",0.444276808065967,0.419117203041726,0.431697005553846
"2012-01-01",0.456182074310323,0.708302254971582,0.582242164640953
"2012-02-01",0.479787002030323,0.493154382782403,0.486470692406363
"2012-03-01",0.507018648971187,0.484895454615338,0.495957051793262
"2012-04-01",0.51501329058566,0.699052890847289,0.607033090716474
"2012-05-01",0.506191903197604,0.734651422308243,0.620421662752924
"2012-06-01",0.491664981294605,0.501198549383527,0.496431765339066
"2012-07-01",0.483871492477859,0.447283395611133,0.465577444044496
"2012-08-01",0.489159763065111,0.60490863343756,0.547034198251335
"2012-09-01",0.486327741249005,0.471849048355915,0.47908839480246
"2012-10-01",0.484268621497972,0.503223375862289,0.49374599868013
"2012-11-01",0.478504291056659,0.599475581561036,0.538989936308848
"2012-12-01",0.478120232886585,0.658507268013524,0.568313750450054
"2013-01-01",0.491178578038317,0.77160811982993,0.631393348934124
"2013-02-01",0.507785023263924,0.614645122164135,0.561215072714029
"2013-03-01",0.524596329393016,0.519734631789964,0.52216548059149
"2013-04-01",0.532517956997048,0.670983849187547,0.601750903092297
"2013-05-01",0.53879561757407,0.699641392903452,0.619218505238761
"2013-06-01",0.543117178116443,0.777712648587512,0.660414913351977
"2013-07-01",0.547671800228793,0.529174770763763,0.538423285496278
"2013-08-01",0.538131752427316,0.810642957865705,0.67438735514651
"2013-09-01",0.538194976988677,0.752443179251727,0.645319078120202
"2013-10-01",0.538435218112609,0.518466812748237,0.528451015430423
"2013-11-01",0.547882885832002,0.499890160673104,0.523886523252553
"2013-12-01",0.553985550257132,0.637290057268791,0.595637803762962
"2014-01-01",0.553143033903136,0.646053332423058,0.599598183163097
"2014-02-01",0.565112158191973,0.699504963061142,0.632308560626557
"2014-03-01",0.57523507426856,0.571511361302483,0.573373217785522
"2014-04-01",0.583824682066344,0.749347882025078,0.666586282045711
"2014-05-01",0.587735643329318,0.575614746782112,0.581675195055715
"2014-06-01",0.595885451499245,0.670580862568108,0.633233157033677
"2014-07-01",0.598067741869305,0.791335433301392,0.694701587585349
"2014-08-01",0.603364775655239,0.66492684185547,0.634145808755355
"2014-09-01",0.585681196270393,0.584373033474755,0.585027114872574
"2014-10-01",0.585588609410223,0.585040456043691,0.585314532726957
"2014-11-01",0.583583628760336,0.673323446056102,0.628453537408219
"2014-12-01",0.589383746778188,0.503333616991117,0.546358681884652
"2015-01-01",0.579624938017386,0.752120486000883,0.665872712009134
"2015-02-01",0.576741316464237,0.760607849933517,0.668674583198877
"2015-03-01",0.563886978418818,0.626559208186426,0.595223093302622
"2015-04-01",0.568897566497292,0.533279452827908,0.5510885096626
"2015-05-01",0.566064391425174,0.706611068653727,0.636337730039451
"2015-06-01",0.549105488773304,0.699883755265688,0.624494622019496
"2015-07-01",0.515894440080525,0.584062260543394,0.54997835031196
"2015-08-01",0.427169184341904,0.549339226657806,0.488254205499855
"2015-09-01",0.383699114471266,0.42850204626415,0.406100580367708
"2015-10-01",0.386149753793019,0.718929679274545,0.552539716533782
"2015-11-01",0.425301650660281,0.567616030256801,0.496458840458541
"2015-12-01",0.465014666776436,0.498653760668848,0.481834213722642
"2016-01-01",0.442849353245013,0.698225199810047,0.57053727652753
"2016-02-01",0.42544633758792,0.47248017242345,0.448963255005685
"2016-03-01",0.435376504346281,0.664158728104946,0.549767616225613
"2016-04-01",0.460757315932666,0.597696390887796,0.529226853410231
"2016-05-01",0.517993869220792,0.688297369941935,0.603145619581363
"2016-06-01",0.526868361977584,0.4947676215727,0.510817991775142
"2016-07-01",0.585162337137749,0.69601882242451,0.640590579781129
"2016-08-01",0.625712237204767,0.4669941263597,0.546353181782233
"2016-09-01",0.686942014126067,0.468097464313637,0.577519739219852
"2016-10-01",0.702119221089469,0.717896306084768,0.710007763587118
"2016-11-01",0.726764546208663,0.610609386817908,0.668686966513285
"2016-12-01",0.732416669631572,0.636804309132731,0.684610489382152
"2017-01-01",0.769426970956311,0.619616925199976,0.694521948078143
"2017-02-01",0.783650795597254,0.469915940113433,0.626783367855343
"2017-03-01",0.819796932621476,0.536482661318237,0.678139796969857
"2017-04-01",0.815843467424612,0.770662374316857,0.793252920870735
"2017-05-01",0.846803969538498,0.7725966015501,0.809700285544299
"2017-06-01",0.815305769798068,0.78047771679028,0.797891743294174
"2017-07-01",0.82288081858872,0.497373092319819,0.66012695545427
"2017-08-01",0.784072086389389,0.411229533246661,0.597650809818025
"2017-09-01",0.837513011831618,0.530599118115505,0.684056064973561
